event_name,count
Transfer,14827
Sync,2828
Approval,2408
Swap,1402
Sent,626
Burned,602
Deposit,545
Withdraw,414
Mint,282
Withdrawal,229
ReserveDataUpdated,205
ProxyCreation,136
AccrueInterest,114
Borrow,104
Burn,100
TransferShares,94
LogBorrow,93
Received,83
RepayBorrow,76
MarketEntered,72
FlashLoan,70
Redeem,63
log_named_decimal_uint,58
DODOFlashLoan,58
LiquidateBorrow,46
TokenExchange,42
FloatingDebtUpdate,41
MarketUpdate,38
Minted,38
Accrue,34
ReservesAdded,31
Repay,31
AddLiquidity,31
Staked,28
Withdrawn,26
LogTransfer,25
RewardPaid,24
_Subscribe,21
_Redeem,20
LogRepay,19
log_named_uint,18
RemoveLiquidityOne,17
ReserveUsedAsCollateralEnabled,17
DistributedSupplierComp,16
DecreaseLiquidity,16
Collect,16
Supply,16
IncreaseLiquidity,16
PoolCreated,16
DistributedBorrowerReward,12
DistributedBorrowerComp,12
UpdateLiquidityLimit,10
Bind,10
TokenSwap,10
DelegateVotesChanged,10
Flash,10
SwapFee,8
Seize,8
Liquidate,8
DistributedSupplierXcn,8
Fees,8
Price,8
NewPoolCreated,8
CashRemoved,8
TransferSingle,7
TokenSwapUnderlying,7
CashAdded,7
PairCreated,7
DistributedSupplierVenus,7
BalanceTransfer,7
LiabilityAdded,7
DistributedBorrowerXcn,7
RemoveLiquidityImbalance,7
RemoveLiquidity,6
BorrowAtMaturity,6
ReserveUsedAsCollateralDisabled,6
ProductivityDecreased,6
ProductivityIncreased,6
TokenExchangeUnderlying,6
LogDeposit,5
SwapTokensForETH,5
AddReward,5
RewardReceived,5
CollateralChanged,5
DistributedSupplierReward,5
UserIndexUpdated,5
SafeReceived,5
DebtChanged,4
TransferIn,4
TransferOut,4
LiabilityRemoved,4
SwapToken,4
LogWithdraw,4
LogFlashLoan,3
FeeCollected,3
Fee,3
VillageUpgraded,3
log_string,3
LogExchangeRate,3
LogAccrue,3
DistributedSupplierRifi,3
LogAddCollateral,3
DividendsPaid,3
OwnershipTransferred,3
TokensBoughtAndDeposited,3
Stake,3
SwapAndLiquify,3
AssetIndexUpdated,3
WithdrawalClaimed,3
WithdrawalProcessed,3
DistributedBorrowerVenus,3
InterfaceImplementerSet,2
IndexUpdated,2
DecreasePoolAmount,2
ParamEvent,2
DEIMinted,2
ContractFallbackCallFailed,2
LogAnySwapOut,2
LogSetMasterContractApproval,2
Harvest,2
AssetStatus,2
ArriveFeeRewards,2
PlpDestroy,2
IncreasePoolAmount,2
ClaimRewards,2
DepositCollateral,2
log,2
LastGoodPriceUpdated,2
Unstake,2
EFEarnReward,2
WithdrawChange,2
LiquidityRemoved,2
IndexUpdate,2
SlotFound,2
LiquidityAdded,2
Failure,2
BaseRateUpdated,1
WithdrawalsIncremented,1
LogOperation,1
PositionClosed,1
Liquidation,1
CalculateKinkBorrowRate,1
CalculateBorrowRate,1
vGHSTLeft,1
StratHarvest,1
Sell,1
PreAddRelation,1
_WithdrawReward,1
XSDBurned,1
BurnedFromLiquidityPool,1
SteamGenerated,1
UpdatePool,1
ApprovalForAll,1
Reward,1
WithdrawCollateral,1
ExitMarket,1
InternalBalanceChanged,1
SocketSwapTokens,1
Newbie,1
BuyGem,1
SellVillage,1
SellWool,1
EnterMarket,1
RequestRepay,1
RequestBorrow,1
PurchasePlp,1
PoolExited,1
Deposited,1
TakeSellFee,1
Accrued,1
Transaction,1
UpdateAccrue,1
UpdateEMA,1
AddCollateral,1
LogRemoveCollateral,1
TransferDeposit,1
Buy,1
Interest,1
TokensDeposited,1
CFFWithdraw,1
Initialized,1
migration,1
CFFDeposit,1
Initialize,1
Claim,1
WARNING_UninitedSlot,1
UserCollateralChanged,1
LogRepayForAll,1
PoolBalanced,1
RewardsAccrued,1
BuyLeverage,1
RewardAdded,1
Distribute,1
StakePlp,1
AccumulatorAccrual,1
UnstakePlp,1
FeeCharged,1
NewImplementation,1
PoolJoined,1
Exchange,1
ZappedIn,1
TokenStatusChanged,1
Receive,1
Process,1
ReceiveReward,1
BuyNF,1
SellNF,1
AutoLiquify,1
